,tweet,sarcastic
58,"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",1
59,"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",1
60,Social Care for the young is basically a bath board and bed rest and your done.,1
61,@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,1
62,JUSTICE HAS BEEN DONE.,1
63,What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,1
64,help! i'm being haunted by dead people! (my dissertations),1
65,my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,1
66,I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,1
67,Billy Gunn sorta relevant for the first time in years...,1
68,wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,1
69,"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",1
70,"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",1
71,considering crowd surfing the next time the hallways are too packed,1
72,Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,1
73,You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,1
74,What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,1
75,@WalesOnline Riveting news.,1
76,"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it...
Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1
77,okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,1
78,"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",1
79,Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy,1
80,thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,1
81,love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,1
82,i love ingesting poison and then wondering why my tummy is rumbling the next morning,1
83,Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1
84,"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",1
85,absolutely love waking up to the fire alarm at 7 am 😍,1
86,fully vaxxed feeling very girlboss,1
87,I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,1
88,"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",1
89,The typhoon flew over me today absolutely fuming they forgot to bomb me,1
90,love getting assignments at 6:25pm on a Friday!!,1
91,Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,1
92,@rits_meg @freedomsenpai hot loli,1
93,Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don’t know her,1
94,Ah gotta love that Friday morning burnt out feeling 🌄,1
95,@PFTompkins Her family should definitely not seek mental health guidance.  😬,1
96,"How I flirt with boys 

Boy: “Hey I saw you from across the room and had to come over”

Me: “Wow you’re super observant. Do you have 20/20 vision?”",1
97,Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,1
98,My work email isn’t working so I can just log off for the day right? 🙄,1
99,watching olympic womens beach volleyball for the plot,1
100,there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑,1
101,"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗",1
102,Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,1
103,Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,1
104,"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",1
105,how do I get my boyfriend in a maid costume?,1
106,@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,1
107,Wtf is a Justin Herbert,1
108,"""He's not welcome in a tolerant place like London"" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh",1
109,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1
110,thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1
111,2 busy working 2 care,1
112,Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z,1
113,STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1
114,I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️,1
115,The control button just fell off my laptop. How symbolic for my life.,1
116,"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",1
117,a level tudor history can do one,1
118,Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,1
119,ugh I have to send an email??? how about I just quit!!!!!,1
120,"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",1
121,went to check out the bios of the (exclusively) hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic 🙃🙃🙃,1
122,So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,1
123,I can't believe today is the last day we can be gay.,1
124,did you actually fly on a plane if you didn’t post a picture of the view from your window?,1
125,"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",1
126,i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,1
127,it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),1
128,@igreen95 thx for the play by play,1
129,who thinks me and sam should start a band called 'teeth at midnight' 🦷🌙,1
130,omg there’s a sheet of ice in front of my school. should I slip and fall?,1
131,I wish that grilled cheese helped you get that summer bod,1
132,I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,1
133,@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,1
134,"@mjborshell @garygilligan Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",1
135,yeah your girl is fine but does she pass out while giving blood,1
136,"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",1
137,Accidentally made a friend in ASL today. I hate when that happens.,1
138,"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1
139,Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,1
140,Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America,1
141,Overthinking everything in life really takes a toll on you,1
142,Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1
143,I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,1
144,@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.),1
145,dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1
146,@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1
147,Taxes  are just the best and I cannot wait to pay more 😇🥰🥺,1
148,"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪",1
149,alright I’m ready for some march madness🏀🔥,1
150,I still can’t believe England won the World Cup,1
151,dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1
152,wouldn’t it be cool if i could spontaneously combust,1
153,Efy is great,1
154,@sonofsama1 @Santandave1 you’re trash,1
155,cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,1
156,Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,1
157,It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really 😵‍💫😵‍💫😵‍💫,1
158,"""are you experiencing suicidal or homicidal ideation?""
""only while trying to talk to a human when I call @Walgreens pharmacy""",1
159,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1
160,"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",1
161,wow i love only ever buying gray and striped shirts,1
162,no more instagram. we must all return to scrapbooks.,1
163,"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",1
164,Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,1
165,"I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me",1
166,"me: trying to sleep slightly earlier than usual bc I feel like shit 
my friend, texting the group chat 13 separate times at nearly 4am: hello I don’t think so! how abt I tell u abt how bad things are going instead :)",1
167,Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️,1
168,"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",1
169,"Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",1
170,a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,1
171,"Hey Siri, how do I stop simping?",1
172,we love mixed signals🙄,1
173,Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????,1
174,Wow Bdubs can bench press 150 kilometers,1
175,"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1
176,"Heard a rumor that Baja Blast is coming to stores and regardless if anything else I hope for in life falls through, at least I'll have this.",1
177,@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this,1
178,A wrong impression is once again my specialty,1
179,if trees would simply stop producing flammable leaves climate change would not be an issue,1
180,haven’t written in months cuz there are no male teachers to impress 😣,1
181,hey quick question is it fall or spring???,1
182,when the toilet seat is warmed up for you&gt;&gt;&gt;,1
183,@PlayStationUK Nice,1
184,me and noah forgot that today is our anniversary. if that isn’t couple goals then idk what is 😌,1
185,I can’t wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea https://t.co/SapbXLd0r2,1
186,Hey what's the weather like today? Am I going to need an umbrella?,1
187,trying to figure out how to use notion for my anime list. I think i’m dying,1
188,Do you think anyone on Bachelor in Paradise has seen Oscar winner Parasite?,1
189,"""your pronouns are what's in your pants"" ok. juicy/dumper",1
190,"It’s so amazing how people forget you exist until they want something from you :,)",1
191,"2 things I love:
1. Being woken up by construction work an hour before my alarm.
2. Sarcasm.",1
192,How bout you dont use a gazillion filters on your pictures,1
193,"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes",1
194,Wow it’s almost like we don’t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!,1
195,@brruhia Nah bruh you just drinking it upside down 😂,1
196,@raerenyse Easily one of the worst and most damaging takes for both trans AND cis women I have seen thus far. Congrats on reaching new levels of awful lmao,1
197,@PoliticalOrgy I thing you might be on to somethink!🙄,1
198,"Here comes the final of the UK #DailyBriefing - who will win, Johnson or Covid?",1
199,"""You're not a normal white girl"" lol ok",1
200,Great time for sim and I to have our weekly life update.... 🌛🌜🐨 (closest thing to an owl) 💤💤💤💤💤😴,1
201,I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,1
202,"@richardosman @GMB @susannareid100 @piersmorgan You've a book out? I hadn't realised.

Yes, you've already read this 8763 times this week, but hey.",1
203,Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldn’t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19,1
204,Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,1
205,“The App Store [is]... an economic miracle” 🙄 but Apple magic not working today at #AntiTrustHearings #Apple stifles innovation that is the lifeblood of our economy. -Lucy McBath speaking some truth today #HouseJudiciary https://t.co/2swhC9daBM,1
206,I love how they blur out Tristan’s face in this season of the kardashians LMAO like hmmmm I wonder who that mysterious man is,1
207,In sunny spain at the moment!!! Hows it all in england?,1
208,my super power is always biting into the sour cream side of the burrito no matter what,1
209,if you display your pop funkos in the box then you’re a tory,1
210,#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome ☺️,1
211,"Don’t worry, 20 something people who follow me here, I brushed my hair for the first time in a week today. I know, impressive.",1
212,@kmflett And with a plentiful supply of rhubarb.,1
213,Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,1
214,"Wait didn’t covid go away?? It’s after November third so it definitely should be gone now...wait...I’m confused...121,000 cases in a day? You’re telling me THE WHOLE WORLD didn’t fake a pandemic for the US election? No way...",1
215,We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,1
216,wow. i left on time today and the airport connector is all the way backed up. love that,1
217,maybe i am a cyber bully,1
218,"""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB""",1
219,Andrews really trying to explain to me that football and rupauls drag race aren’t the same thing when it in fact is the same thing.,1
220,day 5 of people being mad about ellen sitting by gw bush is when we'll finally get to the bottom of this,1
221,"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn; I felt he wanted everyone to know how cool he is, so I decided to tweet about it on his behalf.",1
222,NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,1
223,i’ve never had protected sex,1
224,"Duodenum, Jejunum, and Ilium would be cute names for triplets, don’t @ me",1
225,Only yelled at one person while biking home this evening. Improvement!,1
226,".@taylorswift13 is 100% going to post another photo with 5 holes in a fence 5 days before Lover is released, isn’t she?",1
227,the fact that “breaking: school shootings preventable” was an actual headline on nbc tonight is actually laughable,1
228,I love when I start choking on my water in my 8 person class,1
229,Whoop diddy scoop poop,1
230,@WilliamShatner Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,1
231,is it illegal to discriminate against someone on the basis that they have a joker tattoo,1
232,it’s been 20 hours and i want another chai latte with pumpkin cold foam i can’t afford this!,1
233,"It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉
https://t.co/Px7dYqjh3I",1
234,"Well done Henri, cost us the win #nffc",1
235,I love not being pregnant so much it’s my fave thing about myself,1
236,@ray_harren @tkinsonn buy really rare pokemon card,1
237,"you like ketchup but not tomatoes???

grow up",1
238,Big day in the Mumford house #sports day,1
239,@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!,1
240,"“If I could have changed anything about my childhood I would have never watched spongebob”

-no one",1
241,"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it.",1
242,Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,1
243,@sadgirlkali Make your husband agree to let you die first. FUN date topic for discussion,1
244,im ollie im 5'8 and i think my 5'7 boyfriend is short,1
245,"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.",1
246,wow this growth spurt is really taking longer than i thought haha,1
247,"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife",1
248,my bf took my off his lock screen which obvi means he’s cheating on me,1
249,Gonna go cry now some no face told me to lose weight x,1
250,'Margaret Thatcher' is trending... has 2016 taken another one?,1
251,"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" 

Fixed it for you @taylorswift13 😉

#evermorealbum 
@taylornation13",1
252,"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently",1
253,Of course the moment I front the system is in utter chaos 🥴,1
254,"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor",1
255,Hate this site [CHIRPBIRDICON],1
256,did you know there is a direct correlation with how cool someone is and how high they cuff their pants?,1
257,@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,1
258,I swear this triller event is run by teenagers,1
259,What kind of sins have y’all been committing for God to punish us with this kinda weather...,1
260,I’m really looking forward to not hugging my friends and family through choice rather than by law.,1
261,Men will literally fake an injury on the football field instead of going to therapy,1
262,I don't think Republicans have any self awareness or any idea of how the world works... Nice try though.,1
263,There is not enough people here #ivoryrooms,1
264,I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,1
265,WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.,1
266,Boehner not clapping for gender pay equality. COOL.,1
267,"Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one .
Wait in the que 30 mins .sits down arm ready to get ! 
Sorry your 12hrs to early !!! 
We cannot vacinate you till 56 days !!! @NicolaSturgeon #Seriously",1
268,"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",1
269,Shout out James Boswell  #unibowl,1
270,@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you’re not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very  highest levels of integrity? Seems completely legit to me…,1
271,@xNemoooo @McDonaldsUK @tasshx Say swear you didn’t down all bev’s at Acapulco’s straight after?? 😘,1
272,I got called ugly on Twitter by an uneducated teen who refuses to show his face:( I’m gonna cry myself to sleep😭 I’m in gut wrenching pain!,1
273,"@benshapiro it’s true, every time my little cousins put on their masks they choke to death and have to be revived. it’s very stressful for us.",1
274,Just dislocated my fucking knee again while out on a walk 🙃🙃🙃 FAB,1
275,Headaches that last all day nonstop🥰😍,1
276,"Pissed off at @TMobile_USA and just want out of my contract, but I'm sure that would just be way too easy, ugh :(",1
277,Football is turning into an anatomy lesson. COOL,1
278,"@BIGRXD12 ah yes, people with eating disorders, famous for easily being able to not worry about their weight",1
279,"As if I didn't know this anyway!
I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg",1
280,i would kill a man for a forehead kiss rn,1
281,Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,1
282,Love being called the devil for taking away someone’s phone at summer school🤗🤗🤗,1
283,everyone pls stop shooting fireworks my dog is scared :(,1
284,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1
285,@tedcruz @Dream worst timeline,1
286,@BBCAMERICA Thanks for disrupting your narrative continuity with commercial break previews. #SpoilerAlert,1
287,"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",1
288,i went outside today and suddenly my depression is cured,1
289,Can’t wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,1
290,love when the train stops in philly and everybody boards and of a sudden it smells like a ham sandwich,1
291,"Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o",1
292,My dream is to be left alone.,1
293,@lora__ SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! https://t.co/SV8gpPn6yw,1
294,@BorisJohnson @MattHancock Oh really?,1
295,we happy!!!!!!!!!!,1
296,"first day of work, and i’ve already cried on the job 👍",1
297,The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,1
298,"Damn, imagine being vaxxed and then getting a cold and then losing your taste and smell.

Oh wait.",1
299,Is this first Cybex isokinetic dynamometer? @DrAndrewBateman #PRS2021,1
300,"how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day.
how do you think i am 💀",1
301,apparently it’s national siblings day? idgaf 💀,1
302,Worked out 2 days in a row. I am quite literally the epitome of health and fitness,1
303,yes i have little interest in doing things that applies to me,1
304,If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves.,1
305,"@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.",1
306,"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄",1
307,Don't let people walk all over you. Or breathe on you. Either one.,1
308,Kepa had a great game,1
309,I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is perfect.,1
310,"@Moffstovoi Well done! With the better coaching now available, can we expect a decent wee victory tomorrow? 😅",1
311,@stockwa16053563 @PeterGWall @michael_saylor Michael Saylor is efficient in his line of questioning. Feels like more an interrogation 😂⭕️,1
312,"I'd like to thank middle aged men watching the Olympics for solving the mental health crisis. Getting someone to shout ""get some perspective"" at every athlete struggling with anxiety will definitely solve their problem.",1
313,does ur dad hate you for no reason or are you normal?,1
314,I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom 😩,1
315,this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,1
316,Hot dog eating contest as a form of assisted suicide,1
317,Being 20 years old and going to concerts with my mom means I can scream all the no-no lyrics bc iM aN aDuLt,1
318,it'd be nice if missguided actually had stock for once🙂🙂🙂,1
319,first game not starting when it's supposed to? a UCF tradition,1
320,Having a bad week but what else is new!! At least I finally got paid 💕😭,1
321,im about to just walk into a place and start working then and there and they'll have no choice but to hire me on the spot,1
